x,z,spin_rate,release_velo,pitch_type,bats,release_x,release_y,release_z,pfx_x,pfx_z,extension,throws,bs_count,pitch_result,game_state,ump,pitcherid,catcherid,all_star
7.143040387,30.03460353,2692.251182,89.61999949,SL,L,-1.98,54.48,5.83,2.65,1.33,6.017,R,1-Jan,called_strike,---:2,19,2,2,after
-11.31794248,15.74352635,2278.973732,88.86879623,CH,L,-2.1,54.01,5.5,-10.23,7.1,6.487,R,2-Jan,ball,---:2,19,2,2,after
16.54875983,17.76317138,2434.290364,95.00194361,FF,R,-1.78,54.16,5.82,-8.87,10.63,6.342,R,0-0,ball,---:0,19,2,2,after
3.831277388,19.43953618,2503.475236,95.49146752,FF,R,-1.81,54.34,5.77,-7.57,11.42,6.159,R,Jan-00,called_strike,---:0,19,2,2,after
24.64916753,17.13671431,2580.128329,91.72963618,SL,R,-2,54.58,5.73,1.19,3.52,5.918,R,2-Jan,ball,---:0,19,2,2,after
12.05084433,5.378103708,2558.20235,91.09990459,SL,R,-2.09,54.62,5.75,1.48,3.32,5.881,R,2-Feb,ball,---:0,19,2,2,after
0.118173281,12.31150588,2524.296926,99.22690169,FF,R,-2.05,54.16,5.62,-9.38,9.46,6.345,R,2-Mar,ball,---:0,19,2,2,after
-8.014838826,35.92963943,2769.944307,84.10207043,CB,L,-2.02,54.73,5.85,4.58,-7.46,5.767,R,0-0,called_strike,1--:0,19,2,2,after
7.71407154,29.97661014,2629.713942,98.4474366,FF,R,-1.99,54.23,5.86,-7.75,11.49,6.267,R,0-0,called_strike,1--:1,19,2,2,after
-17.6880022,52.91747174,2554.59608,95.29180132,FF,L,-1.96,54.31,5.91,-8.6,8.88,6.187,R,0-0,ball,---:0,19,2,3,after
2.985552803,16.02061562,2560.390781,95.46773341,FF,L,-1.86,54.21,5.73,-8.79,10.3,6.287,R,Jan-00,ball,---:0,19,2,3,after
-9.106140849,23.1617505,2532.718076,96.0813254,FF,L,-2,54.37,5.74,-9.56,9.46,6.126,R,Feb-00,called_strike,---:0,19,2,3,after
-8.050863036,37.60591162,2878.97872,85.23998855,CB,L,-2.07,54.86,5.78,5.92,-7.75,5.644,R,0-0,called_strike,---:1,19,2,3,after
18.9245927,9.001218869,2587.221237,90.83089094,SL,L,-2.03,54.42,5.72,1.14,3.26,6.078,R,0-2,ball,---:1,19,2,3,after
-2.807526323,13.97974708,1553.913025,86.89928893,CH,L,-3.33,54.42,5.24,-8.75,3.36,6.085,R,0-2,ball,---:0,44,1,1,after
6.393798366,-4.094531346,1577.482232,87.5709881,CH,L,-3.36,54.55,5.33,-8.83,2.99,5.952,R,2-Jan,ball,---:0,44,1,1,after
13.77768532,2.519420731,2406.888918,87.17942228,SL,R,-3.47,54.62,5.2,0.47,2.42,5.879,R,0-2,ball,---:1,44,1,1,after
-8.495008939,24.46588345,2795.380925,81.35956302,CB,L,-3.3,54.75,5.41,6.01,-4.24,5.752,R,0-0,called_strike,---:2,44,1,1,after
-5.69867463,36.26425167,2520.150042,95.29968868,FF,L,-3.23,54.68,5.55,-6.5,8.96,5.822,R,0-0,called_strike,---:0,6,1,1,after
-8.306030902,28.92108993,2493.505328,95.24878438,FF,L,-3.35,54.7,5.41,-7.97,9.04,5.804,R,0-1,called_strike,---:0,6,1,1,after
-1.296479621,8.388659878,1406.5795,85.88833852,CH,L,-3.38,54.68,5.37,-8.62,4.56,5.816,R,0-2,ball,---:0,6,1,1,after
-2.734558581,32.19576968,2411.692111,94.84115405,FF,L,-3.25,54.74,5.61,-9,7.67,5.759,R,0-0,called_strike,---:1,6,1,1,after
-9.693056691,18.97104798,2716.780222,80.3714486,CB,L,-3.35,54.9,5.59,5.38,-3.37,5.596,R,0-1,called_strike,---:1,6,1,1,after
3.371276544,26.48542137,2778.606183,79.94043784,CB,L,-3.13,54.85,5.67,5.45,-4.34,5.651,R,0-0,called_strike,---:2,6,1,1,after
-4.562190683,35.87750373,2670.208803,79.43231083,CB,L,-3.32,54.87,5.54,5.01,-0.94,5.628,R,0-0,called_strike,---:0,6,1,1,after
4.844562364,54.59993649,2479.095455,94.65797216,FF,L,-3.36,54.28,5.42,-6.8,9.1,6.217,R,0-1,ball,-2-:1,6,1,1,after
-16.75433673,41.83344527,2559.284272,95.38884016,FF,L,-3.38,54.35,5.34,-9.65,6.12,6.151,R,1-Jan,ball,-2-:1,6,1,1,after
-17.49305378,34.32335874,2567.998783,78.77785458,CB,L,-3.28,54.7,5.52,3.55,-4.74,5.801,R,0-1,ball,12-:2,6,1,1,after
18.85487746,39.37378425,2442.511205,95.8394104,FF,L,-3.28,54.29,5.21,-5.39,8.04,6.205,R,2-Jan,ball,12-:2,6,1,1,after
-6.16965548,25.42725887,2452.991741,94.37125493,FF,L,-3.39,54.63,5.35,-7.91,6.92,5.866,R,0-0,called_strike,---:0,6,1,1,after
-0.818427263,16.27227871,1516.846885,84.98185027,CH,L,-3.41,54.78,5.38,-9.28,4.11,5.719,R,0-1,ball,---:0,6,1,1,after
-14.93858524,18.00862907,1629.444879,85.91104896,CH,L,-3.43,54.64,5.31,-9.58,5.22,5.86,R,0-0,ball,---:1,6,1,1,after
-2.139065855,28.54847934,2815.880681,80.57888888,CB,L,-3.28,54.87,5.47,6.14,-2.37,5.633,R,Jan-00,called_strike,---:1,6,1,1,after
20.66387212,8.781331717,2598.774863,90.26113032,CT,L,-3.26,54.48,5.28,-1.28,3.77,6.022,R,2-Jan,ball,---:1,6,1,1,after
14.58353612,10.38099539,2500.520019,90.00805475,CT,L,-3.29,54.48,5.28,-0.92,4.05,6.019,R,2-Feb,ball,---:1,6,1,1,after
14.68570023,48.14108798,2482.129652,89.02917743,SL,L,-3.38,54.62,5.29,-1,1.68,5.885,R,0-1,ball,-2-:0,6,1,1,after
21.87635341,25.45047851,2529.041683,95.21261982,FF,L,-3.33,54.26,5.28,-6.81,9.81,6.243,R,1-Jan,ball,-2-:0,6,1,1,after
10.39394066,36.00129076,2490.870606,95.96121813,FF,L,-3.36,54.57,5.34,-8.05,6.87,5.934,R,0-0,ball,-2-:1,6,1,1,after
-1.028748773,16.27298818,2749.175093,79.29694364,CB,L,-3.4,54.72,5.46,4.71,-2.16,5.777,R,Jan-00,ball,-2-:1,6,1,1,after
-6.63354713,43.52584484,2851.838441,79.38763998,CB,L,-3.32,54.73,5.4,5.34,-2.58,5.77,R,Feb-00,ball,-2-:1,6,1,1,after
-5.03774375,21.70454065,NA,80.33154666,CB,L,-3.28,54.72,5.51,4.36,-1.18,5.783,R,0-0,called_strike,-2-:2,6,1,1,after
5.747973768,29.81757938,2539.683601,95.73010794,FF,L,-3.27,54.46,5.39,-7.51,7.9,6.042,R,0-1,called_strike,-2-:2,6,1,1,after
2.015247648,30.33406629,2578.408276,85.82232688,SL,R,-3.5,54.72,5.31,2.22,1.69,5.784,R,0-0,called_strike,---:0,6,1,1,after
9.285048399,29.90565383,2693.233007,96.95220063,FF,R,-3.53,54.14,5.26,-8.38,8.6,6.361,R,0-1,called_strike,---:0,6,1,1,after
6.697513464,-0.771396197,2606.884682,86.90725276,SL,R,-3.47,54.58,5.22,-0.4,1.47,5.917,R,0-2,ball,---:0,6,1,1,after
0.937716359,4.377100312,2575.747835,86.73931356,SL,R,-3.45,54.5,5.25,0.07,-0.16,5.999,R,2-Jan,ball,---:0,6,1,1,after
10.70147722,2.338361476,2476.741979,87.56847239,CT,R,-3.5,54.42,5.21,-0.8,1.5,6.084,R,0-0,ball,---:1,6,1,1,after
9.840743586,24.90102067,2444.332518,97.1596364,FF,R,-3.33,54.33,5.31,-6,8.87,6.174,R,1-Jan,called_strike,---:1,6,1,1,after
23.54231711,28.23397154,2531.195778,97.9626425,FF,R,-3.32,54.28,5.17,-5.72,8.22,6.216,R,2-Jan,ball,---:1,6,1,1,after
